symbol,color1,color2,color3
TDG,[47. 69. 84.],[235. 244. 247.],[159. 167. 173.]
TRV,[230.  22.  22.],[ 0. -0. -0.],[248. 241. 241.]
TRMB,[238. 182.  18.],[ 12.  78. 128.],[223. 226. 231.]
TFC,[43. 26. 70.],[194. 192. 199.],[251. 251. 252.]
TWTR,[ 31. 160. 243.],[171. 184. 194.],[ 94. 167. 212.]
TYL,[ 34. 190. 194.],[75. 30. 89.],[150.  28. 139.]
TSN,[ 0. 31. 83.],[ 0. 31. 83.],[ 0. 31. 83.]
UDR,[254.  29.   7.],[ 66. 108. 188.],[252. 252. 251.]
ULTA,[236.   0.  73.],[239.  74. 114.],[254. 253. 253.]
USB,[216.  39.  63.],[254. 253. 254.],[  3.  68. 144.]
UAA,[190.  87.  74.],[142. 216. 215.],[75. 48. 53.]
UA,[190.  87.  74.],[142. 216. 215.],[75. 48. 53.]
UNP,[226. 153.  36.],[162.  47.  42.],[147. 168. 204.]
UAL,[131. 189. 231.],[13. 32. 61.],[235. 245. 249.]
UNH,[223. 201.  27.],[194. 195. 192.],[ 28.  98. 109.]
UPS,[254. 215.   0.],[49. 22. 22.],[209. 123.  17.]
URI,[  0. 103. 178.],[137. 138. 141.],[254. 255. 255.]
UHS,[  0.  85. 129.],[255. 255. 255.],[210. 218. 226.]
UNM,[  0.  82. 152.],[ 91. 135. 160.],[ 98. 140. 161.]
VLO,[255. 185.   0.],[  0.  96. 145.],[  0. 108. 135.]
VTR,[252. 115.  54.],[ 47. 179. 189.],[227. 236. 232.]
VRSN,[238.  63.  53.],[244. 183. 101.],[36. 32. 96.]
VRSK,[141. 164. 188.],[247. 247. 250.],[79. 50. 85.]
VZ,[205.   4.  11.],[-0. -0.  0.],[134.   3.   7.]
VRTX,[60. 15. 93.],[255. 255. 255.],[140. 128. 155.]
VFC,[  2.  49. 153.],[248. 248. 249.],[171. 172. 177.]
VIAC,[  2. 149. 195.],[248. 251. 253.],[22. 43. 72.]
VTRS,[241. 204.  29.],[244. 244. 246.],[ 57.  51. 121.]
V,[181. 181. 203.],[214. 214. 227.],[255. 255. 255.]
VNO,[15. 50. 85.],[251. 251. 251.],[148. 157. 170.]
VMC,[166. 166. 219.],[240. 244. 247.],[185. 192. 204.]
WRB,[ 0. 72. 18.],[210. 216. 211.],[255. 255. 255.]
WAB,[186.  69.  76.],[239. 231. 230.],[30. 28. 29.]
WMT,[197. 212. 233.],[223. 233. 246.],[255. 255. 255.]
WBA,[142. 200.  62.],[28. 34. 98.],[162. 200. 233.]
DIS,[251. 190.  79.],[ 95. 103. 193.],[ 73. 193. 165.]
WM,[237. 170.  -0.],[  4. 106.  56.],[254. 252. 248.]
WAT,[7. 7. 7.],[139. 139. 139.],[252. 252. 252.]
WEC,[  0. 136. 206.],[102.  89.  76.],[95. 95. 95.]
WFC,[255. 255.   0.],[255. 255. 248.],[205.  22.  11.]
WELL,[222. 161.  84.],[19. 21. 50.],[250. 244. 246.]
WST,[ 10. 111. 132.],[223. 226. 218.],[133. 160. 169.]
