Symbol,Name,Sector,Industry,Headquarters_Location,lat,lng,color1
IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",33.7489954,-84.3879824,5149c9
IPGP,IPG Photonics Corp.,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",42.116760600000006,-71.8647577,062f7e
IQV,IQVIA Holdings Inc.,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",35.99403289999999,-78.898619,137bac
IRM,Iron Mountain Incorporated,Real Estate,Specialized REITs,"Boston, Massachusetts",42.360082500000004,-71.0588801,0f466f
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",36.9289502,-93.9277071,163265
J,Jacobs Engineering Group,Industrials,Construction & Engineering,"Dallas, Texas",32.7766642,-96.7969879,00338d
JBHT,J. B. Hunt Transport Services,Industrials,Trucking,"Lowell, Arkansas",36.25535429999999,-94.1307587,ffdb01
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",40.843666299999995,-81.7640212,ed3f43
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",40.4862157,-74.4518188,d81500
JCI,Johnson Controls International,Industrials,Building Products,"Cork, Ireland",51.898514299999995,-8.4756035,7cb900
JPM,JPMorgan Chase & Co.,Financials,Diversified Banks,"New York, New York",40.7127753,-74.0059728,1f5997
JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",37.368829999999996,-122.03634960000001,c7c7c7
KSU,Kansas City Southern,Industrials,Railroads,"Kansas City, Missouri",39.0997265,-94.5785667,f2a40c
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",42.32115220000001,-85.17971419999999,1d6ca8
KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",41.499320000000004,-81.6943605,cc0000
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",38.440428999999995,-122.7140548,e50a26
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",32.814017699999994,-96.9488945,3f94cb
KIM,Kimco Realty,Real Estate,Retail REITs,"New Hyde Park, New York",40.735101799999995,-73.68790820000001,798aa5
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",29.7604267,-95.36980279999999,d93a31
KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,"Milpitas, California",37.4323341,-121.8995741,3694c7
KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois;혻Pittsburgh, Pennsylvania",0.0,0.0,f72100
KR,Kroger Co.,Consumer Staples,Food Retail,"Cincinnati, Ohio",39.103118200000004,-84.5120196,0c4b99
LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",39.9611755,-82.9987942,0e2560
LHX,L3Harris Technologies,Industrials,Aerospace & Defense,"Melbourne, Florida",28.0836269,-80.6081089,c27e7f
LH,Laboratory Corp. of America Holding,Health Care,Health Care Services,"Burlington, North Carolina",36.095384100000004,-79.4381515,007da4
LRCX,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California",37.5485396,-121.988583,025187
LW,Lamb Weston Holdings Inc,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",43.6954424,-116.3540138,f78c1b
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",36.169941200000004,-115.13982959999998,9e886d
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",37.176446999999996,-94.3102228,f65447
LDOS,Leidos Holdings,Industrials,Diversified Support Services,"Reston, Virginia",38.9586307,-77.35700279999999,850f88
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,"Miami, Florida",25.7616798,-80.1917902,005daa
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,"Indianapolis, Indiana",39.768403,-86.158068,f01716
LNC,Lincoln National,Financials,Multi-line Insurance,"Radnor, Pennsylvania",40.043912,-75.37545990000001,98012e
LIN,Linde plc,Materials,Industrial Gases,"Guildford, Surrey, United Kingdom",51.23622,-0.570409,2d6fc5
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",34.073620399999996,-118.40035630000001,e71c3a
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",41.8781136,-87.62979820000001,025496
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,"Bethesda, Maryland",38.984652000000004,-77.09470920000001,005bad
L,Loews Corp.,Financials,Multi-line Insurance,"New York, New York",40.7127753,-74.0059728,104e91
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",35.5859146,-80.80814129999999,04478f
LUMN,Lumen Technologies,Communication Services,Alternative Carriers,"Monroe, Louisiana",32.5093109,-92.1193012,b6a197
LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",51.9244201,4.4777325999999995,556a76
MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",42.8864468,-78.8783689,027856
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,"Houston, Texas",29.7604267,-95.36980279999999,f00d4b
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",41.04422,-83.6499321,f00d4b
MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York, New York",40.7127753,-74.0059728,1e282f
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",38.984652000000004,-77.09470920000001,b41f3a
MMC,Marsh & McLennan,Financials,Insurance Brokers,"New York, New York",40.7127753,-74.0059728,028bb3
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",35.7795897,-78.6381787,0089cd
MAS,Masco Corp.,Industrials,Building Products,"Livonia, Michigan",42.36837,-83.3527097,0469b7
MA,Mastercard Inc.,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",40.9700171,-73.71763370000001,eb011a
MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",39.490001299999996,-76.6585074,7f574d
MXIM,Maxim Integrated Products,Information Technology,Semiconductors,"San Jose, California",37.338208200000004,-121.88632859999998,1db4af
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,"Chicago, Illinois",41.8781136,-87.62979820000001,c0b790
MCK,McKesson Corp.,Health Care,Health Care Distributors,"Irving, Texas",32.814017699999994,-96.9488945,f2912f
MDT,Medtronic plc,Health Care,Health Care Equipment,"Dublin,혻Ireland",53.34980529999999,-6.2603097000000005,c7c7c7
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",40.6764911,-74.2907032,117771
MET,MetLife Inc.,Financials,Life & Health Insurance,"New York, New York",40.7127753,-74.0059728,0177bf
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",39.9611755,-82.9987942,65a64b
MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",36.0971945,-115.14666480000001,b1801e
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",33.3061605,-111.8412502,1d1d1d
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",43.6150186,-116.2023137,0178c8
MSFT,Microsoft Corp.,Information Technology,Systems Software,"Redmond, Washington",47.6739881,-122.12151200000001,f9840f
MAA,Mid-America Apartments,Real Estate,Residential REITs,"Memphis, Tennessee",35.1495343,-90.0489801,a67131
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",34.502587,-84.9510542,e51a38
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,"Denver, Colorado",39.739235799999996,-104.990251,fab013
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",41.8781136,-87.62979820000001,d01313
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,"Kirkland, Washington",47.6768927,-122.20598329999999,242528
MNST,Monster Beverage,Consumer Staples,Soft Drinks,"Corona, California",33.8752935,-117.56643840000001,89cc43
MCO,Moody's Corp,Financials,Financial Exchanges & Data,"New York, New York",40.7127753,-74.0059728,0028a1
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York, New York",40.7127753,-74.0059728,121d42
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",27.950575,-82.4571776,a37d07
MSI,Motorola Solutions Inc.,Information Technology,Communications Equipment,"Chicago, Illinois",41.8781136,-87.62979820000001,000000
MSCI,MSCI Inc,Financials,Financial Exchanges & Data,"New York, New York",40.7127753,-74.0059728,c7c7c7
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York, New York",40.7127753,-74.0059728,325c95
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","Sunnyvale, California",37.368829999999996,-122.03634960000001,789fd3
NFLX,Netflix Inc.,Communication Services,Movies & Entertainment,"Los Gatos, California",37.235807799999996,-121.96237509999999,dd0813
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia",33.7489954,-84.3879824,298dc1
NEM,Newmont Corporation,Materials,Gold,"Denver, Colorado",39.739235799999996,-104.990251,002783
NWSA,News Corp (Class A),Communication Services,Publishing,"New York, New York",40.7127753,-74.0059728,fc7336
NWS,News Corp (Class B),Communication Services,Publishing,"New York, New York",40.7127753,-74.0059728,090a0c
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",26.879781899999998,-80.0533743,0097da
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,"New York, New York",40.7127753,-74.0059728,00aeff
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",45.5469616,-123.1386021,e51921
NI,NiSource Inc.,Utilities,Multi-Utilities,"Merrillville, Indiana",41.482814399999995,-87.3328139,3366a6
NSC,Norfolk Southern Corp.,Industrials,Railroads,"Norfolk, Virginia",36.8507689,-76.28587259999999,889098
NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,"Chicago, Illinois",41.8781136,-87.62979820000001,115740
NOC,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia",38.8645565,-77.1877587,0069b0
NLOK,NortonLifeLock,Information Technology,Application Software,"Tempe, Arizona",33.4255104,-111.9400054,ea930b
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",25.7616798,-80.1917902,34636e
NOV,NOV Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",29.7604267,-95.36980279999999,fa7e80
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",29.7604267,-95.36980279999999,020202
NUE,Nucor Corp.,Materials,Steel,"Charlotte, North Carolina",35.2270869,-80.8431267,413e36
NVDA,Nvidia Corporation,Information Technology,Semiconductors,"Santa Clara, California",37.354107899999995,-121.9552356,76b900
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,"Reston, Virginia",38.9586307,-77.35700279999999,612a63
NXPI,NXP Semiconductors,Information Technology,Semiconductors,"Eindhoven, Netherlands",51.441642,5.4697225,e5c10a
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",37.20895720000001,-93.2922989,cb232c
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas",29.7604267,-95.36980279999999,ed1b2d
