,Symbol,Name,Sector,Industry,Founded,Date first added,Headquarters Location
343,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2011.0,2017.10.13,"Miami, Florida"
344,NOV,Nov,Energy,Oil & Gas Equipment & Services,1841.0,2005.3.14,"Houston, Texas"
345,NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,1992.0,2010.1.29,"Houston, Texas"
346,NUE,Nucor,Materials,Steel,1940.0,1985.4.30,"Charlotte, North Carolina"
347,NVDA,Nvidia,Information Technology,Semiconductors,1993.0,2001.11.30,"Santa Clara, California"
348,NVR,NVR,Consumer Discretionary,Homebuilding,1980.0,2019.9.26,"Reston, Virginia"
349,NXPI,NXP,Information Technology,Semiconductors,1953.0,2021.3.22,"Eindhoven, Netherlands"
350,ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,1957.0,2009.3.27,"Springfield, Missouri"
351,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,1920.0,1982.12.31,"Houston, Texas"
352,ODFL,Old Dominion Freight Line,Industrials,Trucking,1934.0,2019.12.9,"Thomasville, North Carolina"
353,OMC,Omnicom Group,Communication Services,Advertising,1986.0,1900.1.0,"New York, New York"
354,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,1906.0,2010.3.15,"Tulsa, Oklahoma"
355,ORCL,Oracle,Information Technology,Application Software,1977.0,1989.8.31,"Austin, Texas"
356,OGN,Organon & Co.,Health Care,Pharmaceuticals,,,
357,OTIS,Otis Worldwide,Industrials,Industrial Machinery,2020.0,2020.4.3,"Farmington, Connecticut"
358,PCAR,Paccar,Industrials,Construction Machinery & Heavy Trucks,1905.0,1980.12.31,"Bellevue, Washington"
359,PKG,Packaging Corporation of America,Materials,Paper Packaging,1959.0,2017.7.26,"Lake Forest, Illinois"
360,PH,Parker-Hannifin,Industrials,Industrial Machinery,1917.0,1985.11.30,"Cleveland, Ohio"
361,PAYX,Paychex,Information Technology,Data Processing & Outsourced Services,1971.0,1900.1.0,"Penfield, New York"
362,PAYC,Paycom,Information Technology,Application Software,1998.0,2020.1.28,"Oklahoma City, Oklahoma"
363,PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,1998.0,2015.7.20,"San Jose, California"
364,PENN,Penn National Gaming,Consumer Discretionary,Casinos & Gaming,1972.0,2021.3.22,"Wyomissing, Pennsylvania"
365,PNR,Pentair,Industrials,Industrial Machinery,1966.0,2012.10.1,"Worsley, UK"
366,PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,1842.0,2008.11.13,"Bridgeport, Connecticut"
367,PEP,PepsiCo,Consumer Staples,Soft Drinks,1898.0,1957.3.4,"Purchase, New York"
368,PKI,PerkinElmer,Health Care,Health Care Equipment,1937.0,1985.5.31,"Waltham, Massachusetts"
369,PRGO,Perrigo,Health Care,Pharmaceuticals,2013.0,2011.12.19,"Dublin, Ireland"
370,PFE,Pfizer,Health Care,Pharmaceuticals,1849.0,1957.3.4,"New York, New York"
371,PM,Philip Morris International,Consumer Staples,Tobacco,2008.0,2008.3.31,"New York, New York"
372,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2012.0,2012.5.1,"Houston, Texas"
373,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,1985.0,1900.1.0,"Phoenix, Arizona"
374,PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,1997.0,2008.9.24,"Irving, Texas"
375,PNC,PNC Financial Services,Financials,Regional Banks,1845.0,1988.4.30,"Pittsburgh, Pennsylvania"
376,POOL,Pool Corporation,Consumer Discretionary,Distributors,1993.0,2020.10.7,"Covington, Louisiana"
377,PPG,PPG Industries,Materials,Specialty Chemicals,1883.0,1957.3.4,"Pittsburgh, Pennsylvania"
378,PPL,PPL,Utilities,Electric Utilities,1920.0,1900.1.0,"Allentown, Pennsylvania"
379,PFG,Principal Financial Group,Financials,Life & Health Insurance,1879.0,2002.7.22,"Des Moines, Iowa"
380,PG,Procter & Gamble,Consumer Staples,Personal Products,1837.0,1957.3.4,"Cincinnati, Ohio"
381,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,1937.0,1997.8.4,"Mayfield Village, Ohio"
382,PLD,Prologis,Real Estate,Industrial REITs,1983.0,2003.7.17,"San Francisco, California"
383,PRU,Prudential Financial,Financials,Life & Health Insurance,1875.0,2002.7.22,"Newark, New Jersey"
384,PTC,PTC,Information Technology,Application Software,1985.0,2021.4.20,"Boston, Massachusetts"
385,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,1903.0,1957.3.4,"Newark, New Jersey"
386,PSA,Public Storage,Real Estate,Specialized REITs,1972.0,2005.8.19,"Glendale, California"
387,PHM,PulteGroup,Consumer Discretionary,Homebuilding,1956.0,1984.4.30,"Atlanta, Georgia"
388,PVH,PVH,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1881.0,2013.2.15,"New York, New York"
389,QRVO,Qorvo,Information Technology,Semiconductors,2015.0,2015.6.11,"Greensboro, North Carolina"
390,PWR,Quanta Services,Industrials,Construction & Engineering,1997.0,2009.7.1,"Houston, Texas"
391,QCOM,Qualcomm,Information Technology,Semiconductors,1985.0,1900.1.0,"San Diego, California"
392,DGX,Quest Diagnostics,Health Care,Health Care Services,1967.0,2002.12.12,"Secaucus, New Jersey"
