,symbol,update_date,querter_sales,profit,operating,real_profit,sales,shared,next_update_date
133,AWK,201231.0,923.0,,263.0,145.0,3820000000.0,181469196.0,211102.0
134,AWK,200930.0,1079.0,,433.0,264.0,3820000000.0,181469196.0,211102.0
135,AWK,200630.0,931.0,,313.0,176.0,3820000000.0,181469196.0,211102.0
136,AMP,210331.0,3355.0,2016.0,535.0,437.0,12290000000.0,115904879.0,211025.0
137,AMP,201231.0,3189.0,984.0,228.0,177.0,12290000000.0,115904879.0,211025.0
138,AMP,200930.0,3013.0,1805.0,-147.0,-140.0,12290000000.0,115904879.0,211025.0
139,AMP,200630.0,2730.0,1510.0,-485.0,-539.0,12290000000.0,115904879.0,211025.0
140,ABC,210331.0,49154.17,1533.38,624.35,435.27,196280000000.0,205410717.0,211103.0
141,ABC,201231.0,52516.56,1452.23,547.23,374.85,196280000000.0,205410717.0,211103.0
142,ABC,200930.0,49244.77,1346.32,-6113.14,-4846.07,196280000000.0,205410717.0,211103.0
143,ABC,200630.0,45366.78,1225.72,382.66,289.44,196280000000.0,205410717.0,211103.0
144,AME,210331.0,1215.74,426.35,293.35,219.23,4550000000.0,230919176.0,211103.0
145,AME,201231.0,1198.95,428.98,298.11,221.03,4550000000.0,230919176.0,211103.0
146,AME,200930.0,1126.94,394.24,270.74,204.58,4550000000.0,230919176.0,211103.0
147,AME,200630.0,1011.92,342.73,226.99,166.22,4550000000.0,230919176.0,211103.0
148,AMGN,210331.0,5901.0,4411.0,2129.0,1646.0,25160000000.0,574553986.0,210802.0
149,AMGN,201231.0,6634.0,5037.0,2008.0,1615.0,25160000000.0,574553986.0,210802.0
150,AMGN,200930.0,6423.0,4862.0,2453.0,2021.0,25160000000.0,574553986.0,210802.0
151,AMGN,200630.0,6206.0,4718.0,2323.0,1803.0,25160000000.0,574553986.0,210802.0
152,APH,210331.0,2377.1,727.5,464.8,329.6,9110000000.0,597615720.0,211026.0
153,APH,201231.0,2426.0,765.6,488.3,357.0,9110000000.0,597615720.0,211026.0
154,APH,200930.0,2323.4,734.9,475.8,346.6,9110000000.0,597615720.0,211026.0
155,APH,200630.0,1987.5,603.8,357.4,257.7,9110000000.0,597615720.0,211026.0
156,ADI,210501.0,1661.41,1136.64,519.69,422.9,6200000000.0,368826918.0,210824.0
157,ADI,210130.0,1558.46,1045.37,463.86,388.52,6200000000.0,368826918.0,210824.0
158,ADI,201031.0,1526.3,1023.08,461.67,386.53,6200000000.0,368826918.0,210824.0
159,ADI,200801.0,1456.14,972.58,419.12,362.67,6200000000.0,368826918.0,210824.0
160,ANSS,210331.0,363.23,301.12,50.02,72.4,1740000000.0,87151573.0,211109.0
161,ANSS,201231.0,623.69,555.78,259.39,215.63,1740000000.0,87151573.0,211109.0
162,ANSS,200930.0,366.96,313.58,90.08,75.63,1740000000.0,87151573.0,211109.0
163,ANSS,200630.0,385.66,331.8,112.81,96.56,1740000000.0,87151573.0,211109.0
164,ANTM,210331.0,32385.0,,2368.0,1665.0,124570000000.0,244840654.0,211019.0
165,ANTM,201231.0,31760.0,,802.0,551.0,124570000000.0,244840654.0,211019.0
166,ANTM,200930.0,31176.0,,587.0,222.0,124570000000.0,244840654.0,211019.0
167,ANTM,200630.0,29253.0,,3350.0,2276.0,124570000000.0,244840654.0,211019.0
