symbol,update_date,sales,profit,operating,real_profit
ADM,201231.0,17978.0,1352.0,585.0,687.0
ADM,200930.0,15126.0,1042.0,6.0,225.0
ADM,200630.0,16281.0,1108.0,454.0,469.0
ANET,210331.0,667.56,425.27,206.29,180.37
ANET,201231.0,648.48,414.58,194.64,182.96
ANET,200930.0,605.43,384.96,188.4,168.38
ANET,200630.0,540.57,344.09,166.99,144.79
AJG,210331.0,2165.0,862.1,460.6,382.1
AJG,201231.0,1703.6,580.6,177.1,142.2
AJG,200930.0,1849.1,634.9,255.0,176.6
AJG,200630.0,1584.0,596.0,226.8,153.7
AIZ,210331.0,2433.6,,221.5,163.0
AIZ,201231.0,2560.8,,210.2,139.2
AIZ,200930.0,2504.0,,21.4,-30.2
AIZ,200630.0,2474.5,,253.1,178.1
T,210331.0,43939.0,22852.0,7661.0,7550.0
T,201231.0,45691.0,22781.0,-10745.0,-13883.0
T,200930.0,42340.0,22501.0,6132.0,2816.0
T,200630.0,40950.0,22967.0,3532.0,1281.0
ATO,210331.0,1319.07,,381.8,296.75
ATO,201231.0,914.48,,298.84,217.68
ATO,200930.0,474.91,,100.84,65.33
ATO,200630.0,493.0,,139.03,117.79
ADSK,210430.0,989.3,896.5,133.8,155.6
ADSK,210131.0,1039.2,948.6,184.4,911.3
ADSK,201031.0,952.4,868.7,168.0,132.2
ADSK,200731.0,913.1,832.2,146.1,98.2
ADP,210331.0,4102.0,1829.8,1058.3,810.7
ADP,201231.0,3695.7,1580.0,815.3,647.5
ADP,200930.0,3470.7,1441.3,752.6,602.1
ADP,200630.0,3376.8,1313.8,514.2,411.6
AZO,210508.0,3651.02,1914.95,803.5,596.16
AZO,210213.0,2910.82,1559.38,481.77,345.95
AZO,201121.0,3154.26,1675.62,615.23,442.43
AZO,200829.0,4545.97,2412.97,1018.04,740.46
AVB,210331.0,551.13,341.68,88.7,142.22
AVB,201231.0,555.8,342.66,91.68,341.13
AVB,200930.0,567.4,354.56,111.52,147.7
AVB,200630.0,576.4,378.3,132.43,170.83
AVY,210403.0,2051.3,597.0,267.6,209.5
AVY,210102.0,1990.9,571.1,257.4,191.5
AVY,200926.0,1729.1,484.2,197.9,150.5
AVY,200627.0,1528.5,382.9,103.5,79.7
BKR,210331.0,4782.0,858.0,285.0,-452.0
BKR,201231.0,5495.0,1009.0,182.0,652.0
BKR,200930.0,5049.0,757.0,-49.0,-170.0
BKR,200630.0,10161.0,1433.0,-16111.0,-10422.0
BLL,210331.0,3125.0,632.0,300.0,200.0
BLL,201231.0,3102.0,654.0,296.0,227.0
BLL,200930.0,3093.0,663.0,373.0,241.0
BLL,200630.0,2801.0,571.0,178.0,94.0
BAC,210331.0,24019.0,,,8050.0
BAC,201231.0,21307.0,,,5470.0
BAC,200930.0,21693.0,,,4881.0
BAC,200630.0,24018.0,,,3533.0
BK,210331.0,4004.0,,,927.0
BK,201231.0,3939.0,,,749.0
BK,200930.0,3964.0,,,937.0
BK,200630.0,4173.0,,,950.0
BAX,210331.0,2946.0,1165.0,390.0,298.0
BAX,201231.0,3181.0,1219.0,250.0,168.0
BAX,200930.0,2972.0,1200.0,470.0,356.0
BAX,200630.0,2718.0,1045.0,331.0,246.0
BDX,210331.0,4907.0,2246.0,414.0,299.0
BDX,201231.0,5315.0,2732.0,1230.0,1003.0
BDX,200930.0,4784.0,2265.0,255.0,128.0
BDX,200630.0,3855.0,1660.0,358.0,286.0
BRKB,210331.0,64599.0,14630.0,8577.0,11711.0
BRKB,201231.0,64381.0,13604.0,5656.0,35835.0
BRKB,200930.0,63024.0,13745.0,6058.0,30137.0
BRKB,200630.0,56840.0,12961.0,-4419.0,26295.0
BBY,210501.0,11637.0,2721.0,769.0,595.0
BBY,210130.0,16937.0,3530.0,1033.0,816.0
BBY,201031.0,11853.0,2831.0,561.0,391.0
BBY,200801.0,9910.0,2270.0,568.0,432.0
BIO,210331.0,726.8,400.63,100.06,977.41
BIO,201231.0,789.84,460.15,175.24,839.1
BIO,200930.0,647.26,367.31,109.6,1314.82
BIO,200630.0,536.88,292.99,58.84,966.43
BIIB,210331.0,2694.0,2215.9,973.9,410.2
BIIB,201231.0,2852.6,2362.0,-330.6,357.9
BIIB,200930.0,3376.1,2927.0,1086.4,701.5
BIIB,200630.0,3681.6,3270.5,1974.5,1542.1
BLK,210331.0,4398.0,3573.0,1545.0,1199.0
BLK,201231.0,4478.0,3690.0,1848.0,1548.0
BLK,200930.0,4369.0,3656.0,1757.0,1364.0
BLK,200630.0,3648.0,2973.0,1406.0,1214.0
BA,210331.0,15217.0,1409.0,-83.0,-537.0
BA,201231.0,15802.0,-5190.0,-8049.0,-8420.0
BA,200930.0,14139.0,1034.0,-401.0,-449.0
BA,200630.0,11807.0,-1171.0,-2964.0,-2376.0
BKNG,210331.0,1141.0,,-311.0,-55.0
BKNG,201231.0,1238.0,,-153.0,-165.0
BKNG,200930.0,2640.0,,315.0,801.0
BKNG,200630.0,630.0,,-484.0,122.0
BWA,210331.0,4009.0,818.0,403.0,65.0
BWA,201231.0,3926.0,772.0,223.0,358.0
BWA,200930.0,2534.0,517.0,284.0,111.0
BWA,200630.0,1426.0,174.0,-78.0,-98.0
BXP,210331.0,713.7,450.75,228.0,100.6
BXP,201231.0,665.09,404.71,205.37,10.31
BXP,200930.0,693.27,428.95,234.32,92.48
BXP,200630.0,1407.33,890.06,465.63,769.94
BSX,210331.0,2752.0,1846.0,370.0,341.0
BSX,201231.0,2709.0,1696.0,50.0,211.0
BSX,200930.0,2659.0,1778.0,-205.0,-155.0
BSX,200630.0,2003.0,1204.0,-71.0,-148.0
BMY,210331.0,11073.0,8570.0,1751.0,2021.0
BMY,201231.0,11068.0,8766.0,-11831.0,-10027.0
BMY,200930.0,10540.0,8041.0,1381.0,1872.0
BMY,200630.0,10129.0,7443.0,942.0,-85.0
AVGO,210502.0,6610.0,4058.0,1975.0,1493.0
AVGO,210131.0,6655.0,3967.0,1837.0,1378.0
AVGO,201101.0,6467.0,3752.0,1526.0,1324.0
AVGO,200802.0,5821.0,3331.0,1008.0,688.0
BR,210331.0,1389.8,429.3,239.2,164.9
BR,201231.0,1054.9,248.4,79.5,56.3
BR,200930.0,1017.4,230.3,78.6,65.9
BR,200630.0,1361.9,477.7,298.8,229.7
BFB,210430.0,812.0,498.0,168.0,120.0
BFB,210131.0,911.0,550.0,281.0,219.0
BFB,201031.0,985.0,581.0,330.0,240.0
BFB,200731.0,753.0,465.0,387.0,324.0
CHRW,210331.0,4803.87,702.38,223.33,173.31
CHRW,201231.0,4549.45,640.58,206.8,147.81
CHRW,200930.0,4224.8,589.27,168.24,136.53
CHRW,200630.0,3627.85,614.45,188.79,143.94
COG,210331.0,459.68,306.1,175.44,126.35
COG,201231.0,456.78,292.7,162.89,131.21
COG,200930.0,291.04,123.86,-7.53,-14.96
COG,200630.0,332.35,179.68,53.72,30.37
CDNS,210403.0,736.03,652.06,203.94,187.17
CDNS,210102.0,759.91,686.37,184.98,173.74
CDNS,200926.0,666.61,584.32,169.27,161.63
